suttanu sudu(V22)+tta_du_PAST+anu_a_3SM   
suttavariMxalA sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxalA_ru_INTR
suttavariMxalU sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxalU_ru_INCL
suttavariMxalo sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxalo_ru_DUB
suttavariMxalo sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxalo_ru_INDF
suttavariMxalo sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxalo_ru_PRES
suttavariMxale sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxale_ru_IMPH
suttavariMxale sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxale_ru_DECL
suttavariMxale sudu(V4)+tta_du_PRP+ttavaru_tta_ABL+riMxale_ru_RIS
suttavara sudu(V4)+tta_du_PRP+ttavaru_tta_GEN+ra_ru_3P
suttavaralli sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralli_ru_3P
suttavaralliyA sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliyA_ru_INTR
suttavaralliyU sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliyU_ru_INCL
suttavaralliyo sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliyo_ru_DUB
suttavaralliyo sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliyo_ru_INDF
suttavaralliyo sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliyo_ru_PRES
suttavaralliye sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliye_ru_IMPH
suttavaralliye sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliye_ru_DECL
suttavaralliye sudu(V4)+tta_du_PRP+ttavaru_tta_LOC+ralliye_ru_RIS
suttavarigoskara sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskara_ru_3P
suttavarigoskaravA sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskaravA_ru_INTR
suttavarigoskaravU sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskaravU_ru_INCL
suttavarigoskaravo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskaravo_ru_DUB
suttavarigoskaravo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskaravo_ru_INDF
suttavarigoskaravo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskaravo_ru_PRES
suttavarigoskarave sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskarave_ru_IMPH
suttavarigoskarave sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskarave_ru_DECL
suttavarigoskarave sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigoskarave_ru_RIS
suttavarigoskara sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskara_ru_3P
suttavarigoskaravA sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskaravA_ru_INTR
suttavarigoskaravU sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskaravU_ru_INCL
suttavarigoskaravo sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskaravo_ru_DUB
suttavarigoskaravo sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskaravo_ru_INDF
suttavarigoskaravo sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskaravo_ru_PRES
suttavarigoskarave sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskarave_ru_IMPH
suttavarigoskarave sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskarave_ru_DECL
suttavarigoskarave sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigoskarave_ru_RIS
suttavarigAgi sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgi_ru_3P
suttavarigAgiyA sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyA_ru_INTR
suttavarigAgiyU sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyU_ru_INCL
suttavarigAgiyo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyo_ru_DUB
suttavarigAgiyo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyo_ru_INDF
suttavarigAgiyo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyo_ru_PRES
suttavarigAgiye sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiye_ru_IMPH
suttavarigAgiye sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiye_ru_DECL
suttavarigAgiye sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiye_ru_RIS
suttavarigAgi sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigAgi_ru_3P
suttavarigAgiyA sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyA_ru_INTR
suttavarigAgiyU sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyU_ru_INCL
suttavarigAgiyo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyo_ru_DUB
suttavarigAgiyo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyo_ru_INDF
suttavarigAgiyo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiyo_ru_PRES
suttavarigAgiye sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiye_ru_IMPH
suttavarigAgiye sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiye_ru_DECL
suttavarigAgiye sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigAgiye_ru_RIS
suttavarigosuga sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosuga_ru_3P
suttavarigosugavA sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugavA_ru_INTR
suttavarigosugavU sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugavU_ru_INCL
suttavarigosugavo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugavo_ru_DUB
suttavarigosugavo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugavo_ru_INDF
suttavarigosugavo sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugavo_ru_PRES
suttavarigosugave sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugave_ru_IMPH
suttavarigosugave sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugave_ru_DECL
suttavarigosugave sudu(V4)+tta_du_PRP+ttavaru_tta_BEN+rigosugave_ru_RIS
suttavarigosuga sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosuga_ru_3P
suttavarigosugavA sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugavA_ru_INTR
suttavarigosugavU sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugavU_ru_INCL
suttavarigosugavo sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugavo_ru_DUB
suttavarigosugavo sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugavo_ru_INDF
suttavarigosugavo sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugavo_ru_PRES
suttavarigosugave sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugave_ru_IMPH
suttavarigosugave sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugave_ru_DECL
suttavarigosugave sudu(V4)+tta_du_PRP+ttavaru_tta_PUR+rigosugave_ru_RIS
suttavarigiMwa sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwa_ru_3P
suttavarigiMwalA sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwalA_ru_INTR
suttavarigiMwalU sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwalU_ru_INCL
suttavarigiMwalo sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwalo_ru_DUB
suttavarigiMwalo sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwalo_ru_INDF
suttavarigiMwalo sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwalo_ru_PRES
suttavarigiMwale sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwale_ru_IMPH
suttavarigiMwale sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwale_ru_DECL
suttavarigiMwale sudu(V4)+tta_du_PRP+ttavaru_tta_COMP+rigiMwale_ru_RIS
suttavaraxeV sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeV_ru_3P
suttavaraxeVyA sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVyA_ru_INTR
suttavaraxeVyU sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVyU_ru_INCL
suttavaraxeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVyo_ru_DUB
suttavaraxeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVyo_ru_INDF
suttavaraxeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVyo_ru_PRES
suttavaraxeVye sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVye_ru_IMPH
suttavaraxeVye sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVye_ru_DECL
suttavaraxeVye sudu(V4)+tta_du_PRP+ttavaru_tta_SIM+raxeVye_ru_RIS
suttavaroVdaneV sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneV_ru_3P
suttavaroVdaneVyA sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVyA_ru_INTR
suttavaroVdaneVyU sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVyU_ru_INCL
suttavaroVdaneVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVyo_ru_DUB
suttavaroVdaneVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVyo_ru_INDF
suttavaroVdaneVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVyo_ru_PRES
suttavaroVdaneVye sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVye_ru_IMPH
suttavaroVdaneVye sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVye_ru_DECL
suttavaroVdaneVye sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVdaneVye_ru_RIS
suttavaroVMxigeV  sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeV_ru_3P
suttavaroVMxigeVyA sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVyA_ru_INTR
suttavaroVMxigeVyU sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVyU_ru_INCL
suttavaroVMxigeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVyo_ru_DUB
suttavaroVMxigeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVyo_ru_INDF
suttavaroVMxigeVyo sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVyo_ru_PRES
suttavaroVMxigeVye sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVye_ru_IMPH
suttavaroVMxigeVye sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVye_ru_DECL
suttavaroVMxigeVye sudu(V4)+tta_du_PRP+ttavaru_tta_SOC+roVMxigeVye_ru_RIS
suttaMweVyA sudu(V4)+tta_du_SIM+ttaMweVyA_tta_INTR
suttaMweVyU sudu(V4)+tta_du_SIM+ttaMweVyU_tta_INCL
suttaMweVyo sudu(V4)+tta_du_SIM+ttaMweVyo_tta_DUB
suttaMweVyo sudu(V4)+tta_du_SIM+ttaMweVyo_tta_INDF
suttaMweVyo sudu(V4)+tta_du_SIM+ttaMweVyo_tta_PRES
suttaMweVye sudu(V4)+tta_du_SIM+ttaMweVye_tta_IMPH
suttaMweVye sudu(V4)+tta_du_SIM+ttaMweVye_tta_DECL
suttaMweVye sudu(V4)+tta_du_SIM+ttaMweVye_tta_RIS







