apaharisixanu apaharisu(V27)+ixa_u_PAST+anu_a_3SM   
apaharisixavalYigoskarave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_IMPH
apaharisixavalYigoskarave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_DECL
apaharisixavalYigoskarave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_RIS
apaharisixavalYigoskara apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskara_lYu_3SF
apaharisixavalYigoskaravA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravA_lYu_INTR
apaharisixavalYigoskaravU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravU_lYu_INCL
apaharisixavalYigoskaravo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_DUB
apaharisixavalYigoskaravo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_INDF
apaharisixavalYigoskaravo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_PRES
apaharisixavalYigoskarave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_IMPH
apaharisixavalYigoskarave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_DECL
apaharisixavalYigoskarave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_RIS
apaharisixavalYigAgi apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgi_lYu_3SF
apaharisixavalYigAgiyA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyA_lYu_INTR
apaharisixavalYigAgiyU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyU_lYu_INCL
apaharisixavalYigAgiyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_DUB
apaharisixavalYigAgiyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_INDF
apaharisixavalYigAgiyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_PRES
apaharisixavalYigAgiye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_IMPH
apaharisixavalYigAgiye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_DECL
apaharisixavalYigAgiye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_RIS
apaharisixavalYigAgi apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgi_lYu_3SF
apaharisixavalYigAgiyA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyA_lYu_INTR
apaharisixavalYigAgiyU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyU_lYu_INCL
apaharisixavalYigAgiyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_DUB
apaharisixavalYigAgiyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_INDF
apaharisixavalYigAgiyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_PRES
apaharisixavalYigAgiye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_IMPH
apaharisixavalYigAgiye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_DECL
apaharisixavalYigAgiye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_RIS
apaharisixavalYigosuga apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosuga_lYu_3SF
apaharisixavalYigosugavA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavA_lYu_INTR
apaharisixavalYigosugavU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavU_lYu_INCL
apaharisixavalYigosugavo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_DUB
apaharisixavalYigosugavo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_INDF
apaharisixavalYigosugavo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_PRES
apaharisixavalYigosugave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_IMPH
apaharisixavalYigosugave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_DECL
apaharisixavalYigosugave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_RIS
apaharisixavalYigosuga apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosuga_lYu_3SF
apaharisixavalYigosugavA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavA_lYu_INTR
apaharisixavalYigosugavU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavU_lYu_INCL
apaharisixavalYigosugavo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_DUB
apaharisixavalYigosugavo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_INDF
apaharisixavalYigosugavo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_PRES
apaharisixavalYigosugave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_IMPH
apaharisixavalYigosugave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_DECL
apaharisixavalYigosugave apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_RIS
apaharisixavalYigiMwa apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwa_lYu_3SF
apaharisixavalYigiMwalA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalA_lYu_INTR
apaharisixavalYigiMwalU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalU_lYu_INCL
apaharisixavalYigiMwalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_DUB
apaharisixavalYigiMwalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_INDF
apaharisixavalYigiMwalo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_PRES
apaharisixavalYigiMwale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_IMPH
apaharisixavalYigiMwale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_DECL
apaharisixavalYigiMwale apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_RIS
apaharisixavalYapaharisixeV apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYapaharisixeV_lYu_3SF
apaharisixavalYaxeVyA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyA_lYu_INTR
apaharisixavalYaxeVyU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyU_lYu_INCL
apaharisixavalYaxeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_DUB
apaharisixavalYaxeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_INDF
apaharisixavalYaxeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_PRES
apaharisixavalYxeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_IMPH
apaharisixavalYxeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_DECL
apaharisixavalYxeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_RIS
apaharisixavalYoVdaneV apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneV_lYu_3SF
apaharisixavalYoVdaneVyA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyA_lYu_INTR
apaharisixavalYoVdaneVyU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyU_lYu_INCL
apaharisixavalYoVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_DUB
apaharisixavalYoVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_INDF
apaharisixavalYoVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_PRES
apaharisixavalYoVdaneVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_IMPH
apaharisixavalYoVdaneVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_DECL
apaharisixavalYoVdaneVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_RIS
apaharisixavalYoVMxigeV  apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeV_lYu_3SF
apaharisixavalYoVMxigeVyA apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyA_lYu_INTR
apaharisixavalYoVMxigeVyU apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyU_lYu_INCL
apaharisixavalYoVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_DUB
apaharisixavalYoVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_INDF
apaharisixavalYoVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_PRES
apaharisixavalYoVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_IMPH
apaharisixavalYoVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_DECL
apaharisixavalYoVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_RIS
apaharisixavarannu apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ACC+rannu_ru_3P
apaharisixavariMxalA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalA_ru_INTR
apaharisixavariMxalU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalU_ru_INCL
apaharisixavariMxalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_DUB
apaharisixavariMxalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_INDF
apaharisixavariMxalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_PRES
apaharisixavariMxale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_IMPH
apaharisixavariMxale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_DECL
apaharisixavariMxale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_RIS
apaharisixavarigeV apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeV_ru_3P
apaharisixavarigeVyA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyA_ru_INTR
apaharisixavarigeVyU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyU_ru_INCL
apaharisixavarigeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_DUB
apaharisixavarigeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_INDF
apaharisixavarigeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_PRES
apaharisixavarigeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_IMPH
apaharisixavarigeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_DECL
apaharisixavarigeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_RIS
apaharisixavariMxa  apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxa_ru_3P
apaharisixavariMxalA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalA_ru_INTR
apaharisixavariMxalU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalU_ru_INCL
apaharisixavariMxalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_DUB
apaharisixavariMxalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_INDF
apaharisixavariMxalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_PRES
apaharisixavariMxale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_IMPH
apaharisixavariMxale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_DECL
apaharisixavariMxale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_RIS
apaharisixavara apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_GEN+ra_ru_3P
apaharisixavaralli apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralli_ru_3P
apaharisixavaralliyA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyA_ru_INTR
apaharisixavaralliyU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyU_ru_INCL
apaharisixavaralliyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_DUB
apaharisixavaralliyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_INDF
apaharisixavaralliyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_PRES
apaharisixavaralliye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_IMPH
apaharisixavaralliye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_DECL
apaharisixavaralliye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_RIS
apaharisixavarigoskara apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskara_ru_3P
apaharisixavarigoskaravA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravA_ru_INTR
apaharisixavarigoskaravU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravU_ru_INCL
apaharisixavarigoskaravo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_DUB
apaharisixavarigoskaravo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_INDF
apaharisixavarigoskaravo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskaravo_ru_PRES
apaharisixavarigoskarave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_IMPH
apaharisixavarigoskarave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_DECL
apaharisixavarigoskarave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigoskarave_ru_RIS
apaharisixavarigoskara apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskara_ru_3P
apaharisixavarigoskaravA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravA_ru_INTR
apaharisixavarigoskaravU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravU_ru_INCL
apaharisixavarigoskaravo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_DUB
apaharisixavarigoskaravo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_INDF
apaharisixavarigoskaravo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskaravo_ru_PRES
apaharisixavarigoskarave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_IMPH
apaharisixavarigoskarave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_DECL
apaharisixavarigoskarave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigoskarave_ru_RIS
apaharisixavarigAgi apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgi_ru_3P
apaharisixavarigAgiyA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyA_ru_INTR
apaharisixavarigAgiyU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyU_ru_INCL
apaharisixavarigAgiyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_DUB
apaharisixavarigAgiyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_INDF
apaharisixavarigAgiyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_PRES
apaharisixavarigAgiye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_IMPH
apaharisixavarigAgiye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_DECL
apaharisixavarigAgiye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_RIS
apaharisixavarigAgi apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigAgi_ru_3P
apaharisixavarigAgiyA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyA_ru_INTR
apaharisixavarigAgiyU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyU_ru_INCL
apaharisixavarigAgiyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_DUB
apaharisixavarigAgiyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_INDF
apaharisixavarigAgiyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiyo_ru_PRES
apaharisixavarigAgiye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_IMPH
apaharisixavarigAgiye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_DECL
apaharisixavarigAgiye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigAgiye_ru_RIS
apaharisixavarigosuga apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosuga_ru_3P
apaharisixavarigosugavA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavA_ru_INTR
apaharisixavarigosugavU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavU_ru_INCL
apaharisixavarigosugavo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_DUB
apaharisixavarigosugavo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_INDF
apaharisixavarigosugavo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugavo_ru_PRES
apaharisixavarigosugave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_IMPH
apaharisixavarigosugave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_DECL
apaharisixavarigosugave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_BEN+rigosugave_ru_RIS
apaharisixavarigosuga apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosuga_ru_3P
apaharisixavarigosugavA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavA_ru_INTR
apaharisixavarigosugavU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavU_ru_INCL
apaharisixavarigosugavo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_DUB
apaharisixavarigosugavo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_INDF
apaharisixavarigosugavo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugavo_ru_PRES
apaharisixavarigosugave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_IMPH
apaharisixavarigosugave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_DECL
apaharisixavarigosugave apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_PUR+rigosugave_ru_RIS
apaharisixavarigiMwa apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwa_ru_3P
apaharisixavarigiMwalA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalA_ru_INTR
apaharisixavarigiMwalU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalU_ru_INCL
apaharisixavarigiMwalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_DUB
apaharisixavarigiMwalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_INDF
apaharisixavarigiMwalo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwalo_ru_PRES
apaharisixavarigiMwale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_IMPH
apaharisixavarigiMwale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_DECL
apaharisixavarigiMwale apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_COMP+rigiMwale_ru_RIS
apaharisixavaraxeV apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeV_ru_3P
apaharisixavaraxeVyA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyA_ru_INTR
apaharisixavaraxeVyU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyU_ru_INCL
apaharisixavaraxeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_DUB
apaharisixavaraxeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_INDF
apaharisixavaraxeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVyo_ru_PRES
apaharisixavaraxeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_IMPH
apaharisixavaraxeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_DECL
apaharisixavaraxeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SIM+raxeVye_ru_RIS
apaharisixavaroVdaneV apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneV_ru_3P
apaharisixavaroVdaneVyA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyA_ru_INTR
apaharisixavaroVdaneVyU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyU_ru_INCL
apaharisixavaroVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_DUB
apaharisixavaroVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_INDF
apaharisixavaroVdaneVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVyo_ru_PRES
apaharisixavaroVdaneVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_IMPH
apaharisixavaroVdaneVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_DECL
apaharisixavaroVdaneVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVdaneVye_ru_RIS
apaharisixavaroVMxigeV  apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeV_ru_3P
apaharisixavaroVMxigeVyA apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyA_ru_INTR
apaharisixavaroVMxigeVyU apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyU_ru_INCL
apaharisixavaroVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_DUB
apaharisixavaroVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_INDF
apaharisixavaroVMxigeVyo apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVyo_ru_PRES
apaharisixavaroVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_IMPH
apaharisixavaroVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_DECL
apaharisixavaroVMxigeVye apaharisu(V4)+ixa_u_PRP+ixavaru_ixa_SOC+roVMxigeVye_ru_RIS
apaharisixaMweVyA apaharisu(V4)+ixa_u_SIM+ixaMweVyA_ixa_INTR
apaharisixaMweVyU apaharisu(V4)+ixa_u_SIM+ixaMweVyU_ixa_INCL
apaharisixaMweVyo apaharisu(V4)+ixa_u_SIM+ixaMweVyo_ixa_DUB
apaharisixaMweVyo apaharisu(V4)+ixa_u_SIM+ixaMweVyo_ixa_INDF
apaharisixaMweVyo apaharisu(V4)+ixa_u_SIM+ixaMweVyo_ixa_PRES
apaharisixaMweVye apaharisu(V4)+ixa_u_SIM+ixaMweVye_ixa_IMPH
apaharisixaMweVye apaharisu(V4)+ixa_u_SIM+ixaMweVye_ixa_DECL
apaharisixaMweVye apaharisu(V4)+ixa_u_SIM+ixaMweVye_ixa_RIS







