sowanu solu(V5)+wa_lu_PAST+anu_a_3SM   
sowavarigAgiyA solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyA_ru_INTR
sowavarigAgiyU solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyU_ru_INCL
sowavarigAgiyo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyo_ru_DUB
sowavarigAgiyo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyo_ru_INDF
sowavarigAgiyo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyo_ru_PRES
sowavarigAgiye solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiye_ru_IMPH
sowavarigAgiye solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiye_ru_DECL
sowavarigAgiye solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiye_ru_RIS
sowavarigAgi solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigAgi_ru_3P
sowavarigAgiyA solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyA_ru_INTR
sowavarigAgiyU solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyU_ru_INCL
sowavarigAgiyo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyo_ru_DUB
sowavarigAgiyo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyo_ru_INDF
sowavarigAgiyo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiyo_ru_PRES
sowavarigAgiye solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiye_ru_IMPH
sowavarigAgiye solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiye_ru_DECL
sowavarigAgiye solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigAgiye_ru_RIS
sowavarigosuga solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosuga_ru_3P
sowavarigosugavA solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugavA_ru_INTR
sowavarigosugavU solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugavU_ru_INCL
sowavarigosugavo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugavo_ru_DUB
sowavarigosugavo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugavo_ru_INDF
sowavarigosugavo solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugavo_ru_PRES
sowavarigosugave solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugave_ru_IMPH
sowavarigosugave solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugave_ru_DECL
sowavarigosugave solu(V5)+wa_lu_PRP+wavaru_wa_BEN+rigosugave_ru_RIS
sowavarigosuga solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosuga_ru_3P
sowavarigosugavA solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugavA_ru_INTR
sowavarigosugavU solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugavU_ru_INCL
sowavarigosugavo solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugavo_ru_DUB
sowavarigosugavo solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugavo_ru_INDF
sowavarigosugavo solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugavo_ru_PRES
sowavarigosugave solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugave_ru_IMPH
sowavarigosugave solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugave_ru_DECL
sowavarigosugave solu(V5)+wa_lu_PRP+wavaru_wa_PUR+rigosugave_ru_RIS
sowavarigiwa solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwa_ru_3P
sowavarigiwalA solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwalA_ru_INTR
sowavarigiwalU solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwalU_ru_INCL
sowavarigiwalo solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwalo_ru_DUB
sowavarigiwalo solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwalo_ru_INDF
sowavarigiwalo solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwalo_ru_PRES
sowavarigiwale solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwale_ru_IMPH
sowavarigiwale solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwale_ru_DECL
sowavarigiwale solu(V5)+wa_lu_PRP+wavaru_wa_COMP+rigiwale_ru_RIS
sowavaraMweV solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweV_ru_3P
sowavaraMweVyA solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVyA_ru_INTR
sowavaraMweVyU solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVyU_ru_INCL
sowavaraMweVyo solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVyo_ru_DUB
sowavaraMweVyo solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVyo_ru_INDF
sowavaraMweVyo solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVyo_ru_PRES
sowavaraMweVye solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVye_ru_IMPH
sowavaraMweVye solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVye_ru_DECL
sowavaraMweVye solu(V5)+wa_lu_PRP+wavaru_wa_SIM+raMweVye_ru_RIS
sowavaroVdaneV solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneV_ru_3P
sowavaroVdaneVyA solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVyA_ru_INTR
sowavaroVdaneVyU solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVyU_ru_INCL
sowavaroVdaneVyo solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVyo_ru_DUB
sowavaroVdaneVyo solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVyo_ru_INDF
sowavaroVdaneVyo solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVyo_ru_PRES
sowavaroVdaneVye solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVye_ru_IMPH
sowavaroVdaneVye solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVye_ru_DECL
sowavaroVdaneVye solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVdaneVye_ru_RIS
sowavaroVMxigeV  solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeV_ru_3P
sowavaroVMxigeVyA solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVyA_ru_INTR
sowavaroVMxigeVyU solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVyU_ru_INCL
sowavaroVMxigeVyo solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVyo_ru_DUB
sowavaroVMxigeVyo solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVyo_ru_INDF
sowavaroVMxigeVyo solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVyo_ru_PRES
sowavaroVMxigeVye solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVye_ru_IMPH
sowavaroVMxigeVye solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVye_ru_DECL
sowavaroVMxigeVye solu(V5)+wa_lu_PRP+wavaru_wa_SOC+roVMxigeVye_ru_RIS
sowaMweVyA solu(V5)+wa_lu_SIM+waMweVyA_wa_INTR
sowaMweVyU solu(V5)+wa_lu_SIM+waMweVyU_wa_INCL
sowaMweVyo solu(V5)+wa_lu_SIM+waMweVyo_wa_DUB
sowaMweVyo solu(V5)+wa_lu_SIM+waMweVyo_wa_INDF
sowaMweVyo solu(V5)+wa_lu_SIM+waMweVyo_wa_PRES
sowaMweVye solu(V5)+wa_lu_SIM+waMweVye_wa_IMPH
sowaMweVye solu(V5)+wa_lu_SIM+waMweVye_wa_DECL
sowaMweVye solu(V5)+wa_lu_SIM+waMweVye_wa_RIS




